 467.72419 18.454 0.024
 471.75472 18.362 0.031
 478.64690 18.369 0.023
 479.63605 18.339 0.020
 481.65168 18.283 0.018
 484.62634 18.248 0.017
 485.69884 18.163 0.016
 490.63173 18.109 0.014
 498.68605 17.839 0.018
 501.65104 17.746 0.020
 515.74991 17.275 0.013
 538.65517 16.966 0.010
 539.59546 16.974 0.011
 552.58733 16.988 0.010
 553.56430 16.896 0.013
 797.82319 17.773 0.018
 821.71553 17.401 0.015
 835.75353 17.176 0.012
 845.72006 17.070 0.008
 857.66764 17.025 0.011
 859.63162 17.050 0.011
 881.68796 16.891 0.010
 890.64169 16.789 0.009
1178.82296 17.315 0.014
1182.77481 17.269 0.017
1190.77988 17.155 0.009
1193.73325 17.084 0.013
1205.69220 16.974 0.013
1212.64882 16.925 0.010
1220.69343 16.861 0.009
1239.58877 16.820 0.012
1247.62972 16.774 0.008
1291.53549 16.815 0.016
1511.84257 17.114 0.012
1515.81639 17.075 0.009
1524.72537 17.082 0.015
1543.79838 17.141 0.009
1550.78821 17.181 0.012
1572.77395 17.033 0.011
1573.79616 17.056 0.017
1587.67216 16.921 0.011
1618.61457 16.837 0.011
1624.58197 16.865 0.011
1631.56381 16.904 0.017
2112.94236 17.926 0.018
2116.94096 17.885 0.021
2122.92512 17.757 0.012
2128.93121 17.713 0.018
2135.92855 17.624 0.012
2143.91908 17.569 0.012
2990.67416 17.846 0.012
3008.81308 17.953 0.013
3326.74263 18.031 0.012
3336.74835 17.977 0.019
3341.85401 17.970 0.020
3351.71602 17.967 0.013
3356.67912 17.899 0.012
3361.65237 17.828 0.013
3370.71876 17.762 0.014
3376.69909 17.715 0.012
3385.72082 17.634 0.010
3391.61622 17.543 0.012
3406.64153 17.399 0.010
3714.77274 18.305 0.016
3721.82336 18.169 0.020
3728.66638 18.100 0.012
3737.72063 17.973 0.012
3746.64782 17.858 0.014
3754.57556 17.794 0.012
3763.61386 17.660 0.010
3773.66643 17.561 0.012
4058.73381 17.999 0.011
4070.72897 17.926 0.015
4077.76399 17.828 0.017
4098.68871 17.574 0.011
4105.74054 17.462 0.012
4112.74342 17.352 0.008
4132.68740 17.096 0.011
4371.87119 17.871 0.017
4380.84810 17.840 0.012
4394.74173 17.711 0.013
4408.74330 17.626 0.013
4421.82268 17.501 0.011
4430.83501 17.455 0.016
4434.84596 17.430 0.012
4452.70781 17.168 0.009
4459.69270 17.052 0.011
4467.71687 16.924 0.008
4477.79373 16.819 0.008
4482.73267 16.738 0.007
4486.76670 16.673 0.009
4511.59596 16.469 0.007
4557.57715 16.791 0.009
4773.73028 17.529 0.009
4773.85838 17.525 0.012
4774.67256 17.544 0.011
4781.81778 17.500 0.012
4835.68668 16.788 0.007
4836.65729 16.807 0.008
4836.80524 16.793 0.007
4837.70117 16.798 0.008
4896.54222 17.086 0.008
4899.52705 17.142 0.013
4900.69739 17.165 0.013
4901.53614 17.150 0.015
