3226.88156  9.536 0.005
3232.88758  9.540 0.004
3243.93572  9.538 0.005
3259.77917  9.524 0.005
3286.77491  9.472 0.004
3302.80418  9.415 0.004
3332.61880  9.372 0.004
3337.58452  9.367 0.005
3351.55648  9.370 0.004
3373.58100  9.378 0.004
3374.69681  9.366 0.004
3388.56296  9.366 0.004
3394.57922  9.358 0.004
3400.77183  9.362 0.004
3407.55847  9.368 0.005
3412.70472  9.359 0.005
3420.52975  9.355 0.005
3436.53740  9.358 0.005
3457.49354  9.393 0.005
3610.92039  9.439 0.004
3624.76358  9.460 0.004
3636.79095  9.469 0.004
3646.79589  9.491 0.005
3669.77150  9.528 0.004
3697.68876  9.548 0.004
3716.62859  9.558 0.005
3741.75313  9.513 0.004
3744.59040  9.511 0.004
3768.58725  9.488 0.004
3782.56074  9.475 0.004
3794.53516  9.463 0.004
3807.52803  9.467 0.005
3827.49606  9.455 0.004
3993.85140  9.388 0.005
4001.78970  9.398 0.004
4035.74063  9.422 0.004
4044.72288  9.412 0.004
4051.71408  9.405 0.004
4056.67510  9.405 0.004
4080.79591  9.423 0.004
4084.59288  9.432 0.004
4109.61570  9.442 0.005
4113.55768  9.449 0.005
4118.59551  9.467 0.004
4119.75944  9.467 0.004
4126.55039  9.465 0.004
4129.59587  9.472 0.004
4147.53488  9.510 0.004
4152.63285  9.518 0.004
4182.51262  9.544 0.004
4191.53719  9.538 0.004
4193.50098  9.543 0.005
4385.78950  9.413 0.004
4429.81210  9.415 0.004
4448.67317  9.409 0.005
4460.77507  9.388 0.004
