2997.66046 17.803 0.010
3007.84856 18.104 0.013
3331.81601 19.800 0.037
3337.71615 19.740 0.068
3355.77986 19.665 0.031
3359.78737 19.536 0.026
3362.81827 19.537 0.026
3365.80535 19.490 0.058
3373.73225 19.382 0.035
3381.72907 19.183 0.023
3389.74746 18.635 0.017
3397.75111 18.312 0.023
3405.62010 18.060 0.011
3713.75935 17.644 0.008
3718.70937 17.629 0.013
3722.66670 17.635 0.012
3733.68082 17.673 0.008
3742.61630 17.671 0.010
3751.62517 17.774 0.014
3759.65635 17.886 0.010
3775.73052 18.070 0.015
3783.64427 18.153 0.015
4065.71817 19.116 0.018
4074.67481 19.240 0.048
4095.66876 19.076 0.018
4103.69949 19.105 0.049
4126.71372 19.907 0.037
4377.85797 20.049 0.046
4397.80700 19.945 0.074
4423.77816 19.181 0.023
4434.81113 18.673 0.019
4452.76213 17.669 0.010
4459.77576 17.446 0.012
4466.74434 17.330 0.008
4468.78198 17.288 0.007
4480.75730 17.268 0.007
4485.80985 17.298 0.009
4511.68713 17.950 0.010
4698.89488 17.998 0.014
4766.70007 17.860 0.012
4786.70599 18.520 0.021
4897.57856 20.133 0.082
