JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2450240.44,13.2,,,Vis.,MPR,,,,,,,,V,,,,LX CYG,,STD,,,,
2450240.485,12.8,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450245.43,13.2,,,Vis.,MPR,,,,,,,,V,,,,LX CYG,,STD,,,,
2450247.5,12,,,Vis.,LEB,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450248.454,12.5,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450251.47,13.3,,,Vis.,MPR,,,,,,,,V,,,,LX CYG,,STD,,,,
2450258.855,12.3,,,Vis.,HK,,,,,,,,V,,,,LX CYG,,STD,,,,
2450279.4,12.5,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450280.395,12.8,,,Vis.,GUB,,,,,,,,V,,,,LX CYG,,STD,,,,
2450281.3,11.5,,,Vis.,THU,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450281.4,12.4,,,Vis.,SCZ,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450282.403,12.4,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450283.4,11.5,,,Vis.,GUN,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450284.5,12.5,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450293.4,12.3,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450300.5,12,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450307.4,11.7,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450309.856,12,,,Vis.,HK,,,,,,,,V,,,,LX CYG,,STD,,,,
2450312.5,11.4,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450313.414,11.1,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450315.4,11.1,,,Vis.,SCZ,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450317.5,11.2,,,Vis.,FRF,,,,,,,,V,,,,LX CYG,MCSE,STD,,,,
2450318.4,10.5,,,Vis.,GUN,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450319.7,10.2,,,Vis.,KRS,,,,,,,,V,,,,LX CYG,,STD,,,,
2450330.5,10.5,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450332.428,10.6,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450335.5,10.4,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450336.3,9.6,,,Vis.,GUN,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450336.3,10.3,,,Vis.,SCZ,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
