2452127.49264,14.575,0.005
2452130.52548,14.365,0.005
2452133.53959,14.131,0.005
2452136.66080,14.032,0.005
2452141.65157,14.230,0.005
2452165.57403,14.412,0.005
2452171.64107,14.038,0.005
2452179.53142,14.056,0.005
2452189.52642,14.582,0.005
2452212.55151,14.498,0.005
2452214.50881,14.068,0.005
2452337.83855,14.306,0.005
2452352.85604,14.562,0.005
2452361.85051,14.043,0.005
2452373.80531,14.072,0.005
2452384.84115,14.076,0.005
2452388.84047,14.043,0.005
2452390.87877,14.430,0.005
2452393.87268,14.170,0.005
2452400.82005,14.050,0.005
2452402.92676,14.546,0.005
2452406.86951,14.553,0.005
2452411.72756,14.222,0.005
2452415.90281,14.077,0.005
2452417.87361,14.368,0.005
2452425.90547,14.457,0.005
2452428.88365,14.196,0.005
2452434.80022,14.439,0.005
2452436.84892,14.261,0.005
2452438.83028,14.269,0.005
2452441.78511,14.540,0.005
2452445.70148,14.556,0.005
2452448.73852,14.337,0.005
2452454.75937,14.066,0.005
2452460.73247,14.442,0.005
2452463.61209,14.149,0.005
2452466.58608,14.034,0.005
2452468.77360,14.498,0.005
2452470.75755,14.053,0.005
2452472.79014,14.530,0.005
2452481.63002,14.226,0.005
2452484.69221,14.581,0.005
2452493.71270,14.036,0.005
2452496.55867,14.566,0.005
2452498.59676,14.162,0.005
2452500.62291,14.533,0.005
2452502.64108,14.198,0.005
2452510.53823,14.231,0.005
2452516.50144,14.252,0.005
2452517.54832,14.097,0.005
2452520.65706,14.110,0.005
2452529.52356,14.142,0.005
2452538.57282,14.489,0.005
2452542.56177,14.527,0.005
2452548.52699,14.064,0.005
2452552.56361,14.099,0.005
2452557.52859,14.356,0.005
2452561.52454,14.382,0.005
2452568.55905,14.187,0.005
2452708.87664,14.314,0.005
2452719.88282,14.149,0.005
2452729.90836,14.392,0.005
2452734.88191,14.076,0.005
2452747.76627,14.346,0.005
2452754.77630,14.144,0.005
2452757.84134,14.030,0.005
2452763.79445,14.484,0.005
2452767.88675,14.544,0.005
2452775.79219,14.563,0.005
2452776.74712,14.196,0.005
2452783.88124,14.561,0.005
2452785.74758,14.131,0.005
2452788.62706,14.098,0.005
2452790.77342,14.431,0.005
2452793.70035,14.177,0.005
2452795.66008,14.550,0.005
2452797.67119,14.177,0.005
2452809.79129,14.311,0.005
2452811.71174,14.183,0.005
2452812.84101,14.114,0.005
2452813.88477,14.371,0.005
2452815.86552,14.079,0.005
2452817.76399,14.372,0.005
2452819.67439,14.086,0.005
2452821.72355,14.408,0.005
2452830.69583,14.515,0.005
2452835.70531,14.069,0.005
2452837.71574,14.546,0.005
2452837.72636,14.550,0.005
